"Timestamp","Which event did you attend?","Was this your first CSRR event?","Overall, how would you rate the event?","Please rate the speaker(s):","Please rate the event length:","Please rate the organization of the event:","Please rate the date and time of the event:","Based on your experience, how likely are you to attend future CSRR events?","How likely are you to recommend our events to a friend/colleague?","What did you like most/least about the event?","Do you have suggestions or comments to help CSRR improve future events?"
"2023/04/24 1:09:36 PM AST","Coming to Understand Latino Anti-Black Bias","Yes","10","10","Event was too short.","10","10","10","10","I really enjoyed this topic since it does not get much, if any, air time. The speaker was dynamic, knowledgeable and personable.","No."
"2023/04/24 1:15:38 PM AST","Anti-Latino Anti-Black Bias","No","10","10","Event length was adequate.","9","8","10","10","Very interesting and important topic","No"
"2023/04/24 1:23:12 PM AST","Coming to Understand Latino Anti-Black Bias CLE","Yes","10","10","Event length was adequate.","10","10","10","10","Topic","N/A"
"2023/04/24 1:32:00 PM AST","Coming to Understand Latino Anti-Black Bias CLE","No","10","10","Event was too short.","8","10","10","10","I felt like there was more information that could have been conveyed had the program been longer.  I did not think there was enough time to answer audience questions either.","No"
"2023/04/24 1:32:05 PM AST","Coming to Undestand Latino Anti-Black Bias","No","10","10","Event length was adequate.","10","10","10","10","Zoom feature","Not at this time."
"2023/04/24 1:33:51 PM AST","Coming to Understand Latino Anti-Black Bias","Yes","8","9","Event was too short.","8","10","10","10","Most: speaker’s knowledge and the presentation was well-organized.  Least: too short; would like more time to take a deeper dive","More offerings!  "
"2023/05/06 1:56:09 PM AST","Understanding Latino Anti Black Bias","Yes","3","4","Event length was adequate.","4","4","4","3","It was fine","No"
"2023/10/30 6:35:50 PM AST","Teach-In on Gaza.","Yes","10","10","Event was too short.","10","10","10","10","The speaker seemed rushed; he should have been given more time ","none"
"2023/10/30 6:37:39 PM AST","Teach in on Gaza","Yes","2","3","Event length allowed only to scratch the surface and very one sided presentation.","2","3","2","1","I found the presentation extremely one sided… ignoring that the Arab nations attacked Israel and that the Arab nations expelled Jews from Arab nations.","Based on the presentation you are a center for Palestinian rights not social justice for all,"
"2023/10/30 7:47:51 PM AST","Gaza Teach-In","No","10","10","Event length was adequate.","10","10","10","10","I do try to squeeze in the 12:00 noon EST schedule. I am in California, so morning events (PST)  are a bit difficult. But it's fine. ","Not at the moment. "
"2023/10/30 8:32:12 PM AST","Teach-In on Gaza","Yes","10","10","Event length was adequate.","9","9","10","10","I found out about it last minute from the Women Law Professors' Listserve.  My fault not yours.    Hopefully, I will hear more now that I am on your email list.  Thank you!","Just ask folks to spread the word.  Such important work, I am glad I could join."
"2023/10/30 9:45:38 PM AST","Teach In on Gaza","Yes","10","10","Event length was adequate.","10","10","10","10","Novelty ","no"
"2023/10/30 10:26:36 PM AST","Teach-In on Gaza","No","9","9","Event length was adequate.","9","9","8","9","Informative. Practical","Thanks. All the best."
"2023/10/31 10:58:50 AM AST","Teach In on Gaza","No","10","10","Q&A at end was informative and time appropriate","10","10","10","10","Very good presentation of facts appropriate to current events and past","Would be good if you could have more of them"
"2023/10/31 12:11:40 PM AST","Teach in on Gaza ","No","10","10","Event length was adequate.","10","10","10","10","the depth and detail.","Thanks for continuing to raise awareness about such critical topics and communities that are often less known/discussed. "
"2023/11/04 1:16:46 PM AST","Teach in on Gaza ","Yes","8","10","Event length was adequate.","9","8","10","10","During working hours so I was in and out but I intend on watching it from the beginning ","How do we share this far and wide? How do we collaborate with others orgs and centers so this truthful information is knowledge for all."
"2024/12/12 8:33:08 PM AST","Hostile Homelands","No","10","10","It was of course the right length, but I could have listened a lot longer","10","10","10","10","The speaker was extremely well informed and his presentation was very engaging.","I'm not sure if you provided a reading list or other links - but if not, such would be helpful."
"2024/12/15 8:13:20 PM AST","Hostile Homelands","No","9","10","Event length was adequate.","9","9","10","10","The detailed information and essential perspectives that it offers.","N/A"
"2024/12/16 3:45:19 PM AST","Democracy and Ethnonationalism","No","10","10","Event length was adequate.","10","10","10","10","Relevant, well researched with compelling evidence ","No"
"2025/04/12 1:45:59 PM AST","Hostile Homelands","No","10","10","Event length was adequate.","10","10","10","10","Lots of new details concerning the topic put in a larger context. Truly enlightening! Great follow-up questions aswell. ","Provide reading list at the end so one can conveniently make a screenshot. - I often read the books/articles mentioned during the presentations."
"2025/04/12 6:27:55 PM AST","Professor Paul Butler’s presentation","No","9","10","Event length was adequate.","10","10","10","10","I liked learning how imprisonment of black people was not always so overdone. Everything for a profit at expense of “dispensable folk”","I like the presenter and topics,"
"2025/05/07 1:41:54 PM AST","know your rights for immigrants and International Students","No","10","10","Event was too short.","10","10","10","10","Can we have the slides, the handouts that was dowloaded did not have the sliges.
","see above"
"2025/05/07 1:44:18 PM AST","KYR for Immigrant and International Students","No","10","10","Event length was adequate.","10","10","10","10","This was an incredibly rich synthesis of current events, sophisticated legal analysis, and advice on actions from here!","Thank you so much for providing these crucial insights and guidance to us in such a time of uncertainty and fear!"
"2025/05/07 1:46:45 PM AST","Know Your Rights for Inmigrants","No","10","10","Event was too short.","10","10","10","10","Informative","None at this time "
